Código;Produto;Valor Unitário
16018856;COLETOR CIG INOX 12L MARCHESONI/PB2112;775,7
16007661;FONE DE OUVIDO HEADSET S/FIO;310
16009341;CAMISA POLO MASCULINA **NÃO USAR**;55
16009342;CAMISA POLO MASCULINA;83
16010000;MOCHILA CAMP 12L;335
16010001;RELOGIO CHAMPION SPORT CA31426D;499
16010002;T-SHIRT ALGODAO PERZONALIZADO G;33
16010003;T-SHIRT ALGODAO PERZONALIZADO XG;38
16010004;T-SHIRT ALGODAO PERZONALIZADO XXG;42
16000524;OPTIPLEX 7070 SFF;0
16000525;LATITUDE 5400;0
16000527;LATITUDE 5401;0
16000528;MOCHILA DELL PRO 15;0
16000529;MONITOR P2419H;837,27
16000530;KIT - DELL SE-KM636;0
16000531;DELL TB16;0
16000533;PRECISION 7820 TOWER;0
16000534;KIT TECLADO E MOUSE;0
16002357;SMART-UPS X 3KVA, RACK 230V;0
16002358;SMART-UPS BR 3KVA, 220V;0
16002362;SMART-UPS SRT 6KVA 230V;25448,92
16002363;NOBREAK CJ SMART-UPS APC/SRTRK2;1066,49
16002365;SUP OCTOO 4 MONIT;0
16002366;SUP ARTIC 2 MONIT - MDA17;0
16002367;SUP ARTIC 2 MONIT - MDS19;2108,32
16002368;INSPIRON 15 3583;0
16002376;IP TELEFONE - 8058S POE;0
16002377;WEBCAM USB C/ MIC;799
16002380;CAIXA DE SOM USB;114,1
16002381;MICROFONE USB;170
16002928;MOUSE COM FIO DELL;72,33
16002930;TRIO 8800 CONF - PHONEPOLYCOM;0
16002931;TRIO VISUAL PRO-12X;0
16002932;TOUCH PAD - REAL PRESENCE;0
16002933;MEMORIA RAM 8GB DDR4 2666MHZ;0
16002934;PLAC VIDEO RADEON PRO WX 3100 4GB;0
16002935;SWITCH 3750G 48 10/100/1000T 4 SFP POE;0
16002936;SWITCH 3750G 48 10/100/1000T 4 SFP;0
16002937;SWITCH 3750G 24 10/100/1000T 4 SFP;2800
16002938;SWITCH 3750G 12 SFP;0
16002939;SWITCH 3750X 48 10/100/1000 4SFP POE;0
16002940;GE SFP LC TRANSCEPTOR;0
16002941;STACK CABLE C3750X;0
16002942;CISCO ASR1001;24800
16002943;CISCO 2901-HSEC/K11;0
16002944;CISCO 2901-V/K11;0
16002945;CISCO PVDM3-66;0
16002946;CISCO VWIC2-1MFT-T1/E3;0
16002947;TELEFONE ANALOGICO VG224 24PORT GW;0
16002948;CISCO WIRELESS CONTR 50AP;0
16002949;INTERFACE 8PORT GIGABITE;0
16002950;FIREWALL JUNIPER 320M-SH;0
16002951;PORTA RACK METAL - FRONTAL;0
16002952;PORTA RACK METAL - TRASEIRA;0
16003156;CARTUCHO TONER XEROX PT 106R03745;511
16003157;CARTUCHO TONER XEROX  AMRL 106R03746;511,95
16003158;CARTUCHO TONER XEROX MAGNT 106R03747;511,95
16003159;CARTUCHO TONER XEROX  CIAN 106R03748;511,95
16003160;CARTUCHO FUSOR XEROX C7025 115R00114;0
16003161;CARTUCHO TONER  CIANO C6515;1330,34
16003162;CARTUCHO TONER  MAGENTA C6515;1174,8
16003163;CARTUCHO TONER  AMARELO C6515;1174,8
16003164;TONER PRETO WC 6515;1313,4
16003165;CARTUCHO FUSOR PRETO C6515;0
16003356;MOUSE USB C/ FIO;0
16003357;TECLADO USB C/ FIO;0
16003358;MOUSE S/ FIO;62,35
16003359;TECLADO S/ FIO;240,7
16003651;UNIDADE DE IMAGEM -COPIADORA XEROX C7020;0
16004127;SOFTWARE - ACRONIS TRUE IMAGE;0
16004128;SOFTWARE - P7S SIGNER;0
16004129;SOFTWARE - CAMTASIA 219;0
16004165;WEBCAM LOGITECH - C930E BUSINESS;967
16004166;CABO EXTENSOR AMPLIFICADO USB 3.0 - 5M;1119,8
16005686;PATCH CORD CAT6 - 1,5M;0
16005687;PATCH CORD CAT6A - 1,5M;0
16005688;PATCH CORD CAT6 - 2M;32,67
16005689;PATCH CORD CAT6A - 2M;0
16005690;PATCH CORD CAT6 - 5M;0
16005691;PATCH CORD CAT6A - 5M;75,2
16005692;PATCH CORD CAT6- 10M;0
16005693;PATCH CORD CAT6A - 10M;59
16005694;PATCH CORD CAT6- 20M;0
16005695;PATCH CORD CAT6A- 20M;120
16005696;CONECTOR RJ 45 MACHO CAT6;0
16005697;CONECTOR RJ 45 MACHO CAT6A;0
16005698;CONECTOR RJ 45 MACHO CAT6 BLINDADO;0
16005699;CONECTOR RJ 45 MACHO CAT6A BLINDADO;288,8
16005700;CONECTOR RJ 45 FEMEA CAT6;0
16005701;CONECTOR RJ 45 FEMEA CAT6A;0
16005702;CONECTOR RJ 45 FEMEA CAT6 BLINDADO;117,5
16005703;CONECTOR RJ 45 FEMEA CAT6A BLINDADO;190,09
16005704;CAIXA DE SOBREPOR PARA CONECTOR CAT6;0
16005705;CAIXA DE SOBREPOR PARA CONECTOR CAT6A;101,23
16005706;CONECTOR DIN  DRM45 CAT6;5,9
16005707;SERVIRDOR POWEREDGE DELL R340;0
16005708;FITA VELCRO;135
16005709;CABO UTP CAT6;3,99
16005710;CABO UTP CAT6A;0
16005711;CABO STP CAT6;38,99
16005712;CABO STP CAT6A;0
16006133;CONVERSOR - VGA x HDMI;0
16006134;CONVERSOR - DISPLAY PORT x HDMI;144,95
16006135;CABO HDMI -1MACHOx1MACHO -20 METROS;104
16006136;CABO HDMI -1MACHOx1MACHO -10 METROS;44,72
16006194;APC9631 - PL. MONIT.;0
16006195;POWER CORD, NBR 14136 - IEC C19, 1.8M;0
16006400;SOFTWARE - FOXIT PHANTOM PDF PRO;0
16006990;CABO VGA -1FEMEAx1FEMEA -10METROS;0
16006991;CABO USB -2MACHOx2FEMEA -10METROS;0
16008123;ENCODER MODELO 9000;0
16008124;NVR-AS MODELO 4000 COMPACTO;21291
16008125;CAMERA CFTV - MODELO EE-BG4SV21;0
16008126;LENTE DE CAMERA - EE-L3M2812DR;0
16008127;SUPORTE MOVEL PARA TV;89,99
16008128;FORTIGATE MODELO 401E;0
16008129;FORTIGATE MODELO 401E BDL-950-36;0
16008130;CABO HDMI 15M MACHO X MACHO;0
16008131;MATRIX HDMI 4X4 - FX 400-E;0
16008132;CABO HDMI 1.5 M;0
16008134;SUPORTE FIXO PARA TV;429,9
16008138;CONVERSOR HDMI UPT;0
16008630;CENTRAL IR;0
16008631;CABO REPETIDOR IR;0
16008632;CABO EMISSOR IR;0
16008889;ORGANIZADOR DE CABOS 1U;42,5
